"PwMasterVariantId";"PwShopId";"PwMasterProductId";"Exclude";"StockedDirectly";"CogsCurrencyId";"CogsAmount";"CogsDetail"
484;1;113;0;0;1;1079.0;0
485;1;114;0;1;1;39.0;0
486;1;114;0;1;1;81.0;0
487;1;115;0;1;1;2796.0;0
488;1;116;0;1;1;3436.0;0
489;1;117;0;1;1;91.96;0
490;1;118;0;1;1;91.96;0
491;1;119;0;1;1;48.5;0
492;1;114;0;1;1;39.0;0
493;1;114;0;1;1;81.0;0
494;1;120;0;1;1;41.0;0
495;1;120;0;1;1;41.0;0
496;1;120;0;1;1;41.0;0
497;1;120;0;1;1;41.0;0
498;1;120;0;1;1;41.0;0
499;1;120;0;1;1;41.0;0
500;1;120;0;1;1;41.0;0
501;1;120;0;1;1;41.0;0
502;1;120;0;1;1;41.0;0
503;1;120;0;1;1;41.0;0
504;1;121;0;1;1;49.0;0
505;1;121;0;1;1;49.0;0
506;1;121;0;1;1;49.0;0
507;1;121;0;1;1;49.0;0
508;1;121;0;1;1;49.0;0
509;1;121;0;1;1;49.0;0
510;1;121;0;1;1;49.0;0
511;1;121;0;1;1;49.0;0
512;1;121;0;1;1;49.0;0
513;1;122;0;1;1;57.0;0
514;1;122;0;1;1;57.0;0
515;1;123;0;1;1;41.0;0
516;1;123;0;1;1;41.0;0
517;1;123;0;1;1;41.0;0
518;1;123;0;1;1;41.0;0
519;1;123;0;1;1;41.0;0
520;1;123;0;1;1;41.0;0
521;1;123;0;1;1;41.0;0
522;1;123;0;1;1;41.0;0
523;1;123;0;1;1;41.0;0
524;1;123;0;1;1;41.0;0
525;1;123;0;1;1;41.0;0
526;1;124;0;1;1;16.0;0
527;1;124;0;1;1;16.0;0
528;1;125;0;1;1;8.0;0
529;1;125;0;1;1;8.0;0
530;1;126;0;1;1;14.0;0
531;1;126;0;1;1;14.0;0
532;1;127;0;1;1;16.0;0
533;1;127;0;1;1;16.0;0
534;1;128;0;1;1;14.0;0
535;1;128;0;1;1;14.0;0
